data,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,tamponi_test_molecolare,color,nuovi_tamponi_pcr,nuovi_decessi,nuovi_dimessi,terapia_intensiva_prev,ricoverati_con_sintomi_prev,nuovi_tamponi_pcr_prev,nuovi_positivi_prev,color_prev
2020-10-01,307,20,327,2609,2936,70,156,4026,312,4726,2548,7274,490482,358336,490482,bianco,6637,1,85,14,173,5498,96,bianco
2020-10-02,303,21,324,2724,3048,112,140,4052,314,4821,2593,7414,496034,362142,496034,bianco,5552,2,26,15,179,6329,179,bianco
2020-10-03,322,20,342,2829,3171,123,182,4108,317,4931,2665,7596,502672,366048,502672,bianco,6638,3,56,13,191,4344,98,bianco
2020-10-04,329,24,353,2894,3247,76,85,4115,319,4981,2700,7681,506170,368405,506170,bianco,3498,2,7,13,194,3120,116,bianco
2020-10-05,361,28,389,2969,3358,111,128,4130,321,5062,2747,7809,508826,370087,508826,bianco,2656,2,15,14,203,3102,75,bianco
2020-10-06,368,28,396,3052,3448,90,198,4237,322,5174,2833,8007,515580,374604,515580,bianco,6754,1,107,15,224,7008,108,bianco
2020-10-07,375,30,405,3144,3549,101,213,4345,326,5299,2921,8220,522159,378610,522159,bianco,6579,4,108,16,230,6039,89,bianco
2020-10-08,376,33,409,3287,3696,147,259,4454,329,5441,3038,8479,529533,383416,529533,bianco,7374,3,109,16,237,5169,125,bianco
2020-10-09,376,35,411,3490,3901,205,233,4478,333,5583,3129,8712,536684,387714,536684,bianco,7151,4,24,13,235,5330,107,bianco
2020-10-10,387,35,422,3721,4143,242,285,4519,335,5782,3215,8997,544425,392395,544425,bianco,7741,2,41,13,255,5558,110,bianco
2020-10-11,388,38,426,3975,4401,258,297,4557,336,5953,3341,9294,548934,395172,548934,bianco,4509,1,38,14,268,4202,107,bianco
2020-10-12,404,42,446,4236,4682,281,298,4571,339,6133,3459,9592,552826,397546,552826,bianco,3892,3,14,15,294,2414,102,bianco
2020-10-13,426,44,470,4407,4877,195,334,4708,341,6366,3560,9926,561166,402751,561166,bianco,8340,2,137,16,293,6115,163,bianco
2020-10-14,447,49,496,4691,5187,310,366,4762,343,6582,3710,10292,568187,407145,568187,bianco,7021,2,54,19,301,6645,170,bianco
2020-10-15,468,52,520,4967,5487,300,399,4854,350,6856,3835,10691,575631,411784,575631,bianco,7444,7,92,20,307,6637,156,bianco
2020-10-16,471,58,529,5405,5934,447,578,4975,360,7238,4031,11269,583340,416980,583340,bianco,7709,10,121,21,303,5552,140,bianco
2020-10-17,479,61,540,5741,6281,347,475,5101,362,7493,4251,11744,589079,422068,589079,bianco,5739,2,126,20,322,6638,182,bianco
2020-10-18,493,70,563,6227,6790,509,548,5137,365,7835,4457,12292,595469,426503,595469,bianco,6390,3,36,24,329,3498,85,bianco
2020-10-19,521,72,593,6426,7019,229,362,5267,368,8095,4559,12654,598721,428508,598721,bianco,3252,3,130,28,361,2656,128,bianco
2020-10-20,542,77,619,6878,7497,478,574,5353,378,8485,4743,13228,606852,434040,606852,bianco,8131,10,86,28,368,6754,198,bianco
2020-10-21,565,83,648,7202,7850,353,562,5551,389,8879,4911,13790,614264,437540,614264,bianco,7412,11,198,30,375,6579,213,bianco
2020-10-22,588,89,677,7863,8540,690,796,5649,397,9374,5212,14586,621996,442472,621996,bianco,7732,8,98,33,376,7374,259,bianco
2020-10-23,593,89,682,8454,9136,596,730,5772,408,9894,5422,15316,630011,447704,630011,bianco,8015,11,123,35,376,7151,233,bianco
2020-10-24,606,90,696,9193,9889,753,886,5896,417,10410,5792,16202,637158,452738,637158,bianco,7147,9,124,35,387,7741,285,bianco
2020-10-25,642,95,737,9818,10555,666,695,5914,428,10855,6042,16897,642351,456572,642351,bianco,5193,11,18,38,388,4509,297,bianco
2020-10-26,677,98,775,10170,10945,390,568,6081,439,11173,6292,17465,647327,459725,647327,bianco,4976,11,167,42,404,3892,298,bianco
2020-10-27,727,103,830,10904,11734,789,860,6142,449,11733,6592,18325,654651,464116,654651,bianco,7324,10,61,44,426,8340,334,bianco
